,LAT,LON,YEAR_MONTH,T2M_mean,QV2M_mean,GWETROOT_mean,PRECTOT_sum,month,month_sin,month_cos,T2M_lag1,QV2M_lag1,GWET_lag1,PREC_lag1,T2M_lag2,QV2M_lag2,GWET_lag2,PREC_lag2,T2M_lag3,QV2M_lag3,GWET_lag3,PREC_lag3,T2M_t1,QV2M_t1,GWET_t1,PREC_t1,T2M_t2,QV2M_t2,GWET_t2,PREC_t2,T2M_t3,QV2M_t3,GWET_t3,PREC_t3
238,19.5,77.5,2025-03-01,30.119032258064518,5.280645161290322,0.5238709677419355,3.1699999999999995,3,0.8660254037844386,0.5000000000000001,26.2925,5.497857142857143,0.53,0.0,21.715806451612906,7.1493548387096775,0.5429032258064517,0.0,20.801290322580645,10.626451612903226,0.5832258064516128,3.66,33.982,7.012333333333333,0.5293333333333333,10.540000000000001,31.875806451612902,13.819032258064516,0.5583870967741936,146.23,28.695,17.301666666666666,0.6313333333333334,178.94
239,19.5,77.5,2025-04-01,33.982,7.012333333333333,0.5293333333333333,10.540000000000001,4,1.0,6.123233995736766e-17,30.119032258064518,5.280645161290322,0.5238709677419355,3.1699999999999995,26.2925,5.497857142857143,0.53,0.0,21.715806451612906,7.1493548387096775,0.5429032258064517,0.0,31.875806451612902,13.819032258064516,0.5583870967741936,146.23,28.695,17.301666666666666,0.6313333333333334,178.94,26.366451612903226,18.12741935483871,0.74,240.15
240,19.5,78.125,2024-11-01,20.477666666666668,11.666,0.662,0.23,11,-0.8660254037844386,0.5000000000000001,25.424516129032256,17.787419354838708,0.7861290322580645,44.57,25.846,18.950666666666667,0.893,186.55,26.503870967741936,19.34161290322581,0.8654838709677419,201.66,20.888387096774192,10.87774193548387,0.5932258064516129,3.9099999999999997,21.77806451612903,7.133870967741935,0.5577419354838711,0.0,26.494642857142857,5.5042857142857144,0.5460714285714287,0.0
241,19.5,78.125,2024-12-01,20.888387096774192,10.87774193548387,0.5932258064516129,3.9099999999999997,12,-0.5000000000000004,0.8660254037844384,20.477666666666668,11.666,0.662,0.23,25.424516129032256,17.787419354838708,0.7861290322580645,44.57,25.846,18.950666666666667,0.893,186.55,21.77806451612903,7.133870967741935,0.5577419354838711,0.0,26.494642857142857,5.5042857142857144,0.5460714285714287,0.0,30.341290322580647,5.558064516129033,0.5429032258064517,3.1100000000000003
242,19.5,78.125,2025-01-01,21.77806451612903,7.133870967741935,0.5577419354838711,0.0,1,0.0,1.0,20.888387096774192,10.87774193548387,0.5932258064516129,3.9099999999999997,20.477666666666668,11.666,0.662,0.23,25.424516129032256,17.787419354838708,0.7861290322580645,44.57,26.494642857142857,5.5042857142857144,0.5460714285714287,0.0,30.341290322580647,5.558064516129033,0.5429032258064517,3.1100000000000003,34.373666666666665,7.5023333333333335,0.547,9.129999999999999
243,19.5,78.125,2025-02-01,26.494642857142857,5.5042857142857144,0.5460714285714287,0.0,2,0.49999999999999994,0.8660254037844387,21.77806451612903,7.133870967741935,0.5577419354838711,0.0,20.888387096774192,10.87774193548387,0.5932258064516129,3.9099999999999997,20.477666666666668,11.666,0.662,0.23,30.341290322580647,5.558064516129033,0.5429032258064517,3.1100000000000003,34.373666666666665,7.5023333333333335,0.547,9.129999999999999,32.343548387096774,14.168064516129032,0.5770967741935484,157.0
244,19.5,78.125,2025-03-01,30.341290322580647,5.558064516129033,0.5429032258064517,3.1100000000000003,3,0.8660254037844386,0.5000000000000001,26.494642857142857,5.5042857142857144,0.5460714285714287,0.0,21.77806451612903,7.133870967741935,0.5577419354838711,0.0,20.888387096774192,10.87774193548387,0.5932258064516129,3.9099999999999997,34.373666666666665,7.5023333333333335,0.547,9.129999999999999,32.343548387096774,14.168064516129032,0.5770967741935484,157.0,28.909333333333333,17.453,0.6476666666666666,174.04
245,19.5,78.125,2025-04-01,34.373666666666665,7.5023333333333335,0.547,9.129999999999999,4,1.0,6.123233995736766e-17,30.341290322580647,5.558064516129033,0.5429032258064517,3.1100000000000003,26.494642857142857,5.5042857142857144,0.5460714285714287,0.0,21.77806451612903,7.133870967741935,0.5577419354838711,0.0,32.343548387096774,14.168064516129032,0.5770967741935484,157.0,28.909333333333333,17.453,0.6476666666666666,174.04,26.48516129032258,18.44451612903226,0.7509677419354839,232.51
246,19.5,78.75,2024-11-01,20.575333333333333,11.983333333333333,0.659,0.76,11,-0.8660254037844386,0.5000000000000001,25.620322580645162,18.06451612903226,0.8016129032258065,39.629999999999995,25.993,19.189,0.9173333333333333,169.91,26.56064516129032,19.668709677419354,0.9096774193548387,212.16,20.890645161290323,11.158709677419356,0.5783870967741935,3.9,21.489677419354837,7.391935483870968,0.533225806451613,0.0,26.53464285714286,5.708928571428571,0.5178571428571429,0.0
247,19.5,78.75,2024-12-01,20.890645161290323,11.158709677419356,0.5783870967741935,3.9,12,-0.5000000000000004,0.8660254037844384,20.575333333333333,11.983333333333333,0.659,0.76,25.620322580645162,18.06451612903226,0.8016129032258065,39.629999999999995,25.993,19.189,0.9173333333333333,169.91,21.489677419354837,7.391935483870968,0.533225806451613,0.0,26.53464285714286,5.708928571428571,0.5178571428571429,0.0,30.496451612903225,5.928709677419355,0.5135483870967742,4.42
